Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
Total,Hispanic,Total,65,,,..65 years and over,4638966,4638966,4231314,183392,36596,102257,10474,74933
Total,Hispanic,Total,85,,,..85 years and over,509096,509096,472421,17580,3294,8465,844,6492
Total,Hispanic,Total,16,,,..16 years and over,43888085,43888085,38879395,2043267,422005,1261718,151690,1130010
Total,Hispanic,Total,18,,,..18 years and over,41884672,41884672,37136969,1942738,401445,1202874,144664,1055982
Total,Hispanic,Male,0,5,yes,...Under 5 years,2597970,2597970,2223407,139174,28570,77315,9210,120294
Total,Hispanic,Male,5,5,yes,...5 to 9 years,2671297,2671297,2296153,140342,27150,77079,8887,121686
Total,Hispanic,Male,10,5,yes,...10 to 14 years,2716120,2716120,2337814,143796,29464,80751,10145,114150
Total,Hispanic,Male,15,5,yes,...15 to 19 years,2568290,2568290,2234729,129188,26244,74885,8847,94397
Total,Hispanic,Male,20,5,yes,...20 to 24 years,2485514,2485514,2172553,122680,24749,72713,8661,84158
Total,Hispanic,Male,25,5,yes,...25 to 29 years,2564663,2564663,2245977,129820,25281,77047,9859,76679
Total,Hispanic,Male,30,5,yes,...30 to 34 years,2413535,2413535,2120367,117236,23931,76971,10571,64459
Total,Hispanic,Male,35,5,yes,...35 to 39 years,2342227,2342227,2068338,106488,22946,75138,10295,59022
Total,Hispanic,Male,40,5,yes,...40 to 44 years,2118713,2118713,1882946,90680,20411,66033,8376,50267
Total,Hispanic,Male,45,5,yes,...45 to 49 years,1921239,1921239,1723450,75111,17751,59750,6580,38597
Total,Hispanic,Male,50,5,yes,...50 to 54 years,1669663,1669663,1500654,66094,14820,50663,5572,31860
Total,Hispanic,Male,55,5,yes,...55 to 59 years,1407360,1407360,1265154,56482,12398,42424,4330,26572
Total,Hispanic,Male,60,5,yes,...60 to 64 years,1070633,1070633,962245,43828,9489,31773,3120,20178
Total,Hispanic,Male,65,5,yes,...65 to 69 years,761174,761174,688244,31035,6295,20365,1966,13269
Total,Hispanic,Male,70,5,yes,...70 to 74 years,531272,531272,483526,20365,4198,13139,1329,8715
Total,Hispanic,Male,75,5,yes,...75 to 79 years,331516,331516,303585,12654,2471,7175,679,4952
Total,Hispanic,Male,80,5,yes,...80 to 84 years,214528,214528,197619,8017,1493,4035,430,2934
Total,Hispanic,Male,85,,yes,...85 years and over,185323,185323,172481,5938,1135,3179,326,2264
Total,Hispanic,Male,0,18,,...Under 18 years,9524627,9524627,8194872,500971,101143,280270,33662,413709
Total,Hispanic,Male,0,5,,....Under 5 years,2597970,2597970,2223407,139174,28570,77315,9210,120294
Total,Hispanic,Male,5,9,,....5 to 13 years,4855113,4855113,4173418,256881,51019,142017,17053,214725
Total,Hispanic,Male,14,4,,....14 to 17 years,2071544,2071544,1798047,104916,21554,60938,7399,78690
Total,Hispanic,Male,18,47,,...18 to 64 years,19022597,19022597,16838915,859948,182061,582272,70791,488610
Total,Hispanic,Male,18,7,,....18 to 24 years,3514564,3514564,3069784,174209,35034,102473,12088,120976
Total,Hispanic,Male,25,20,,....25 to 44 years,9439138,9439138,8317628,444224,92569,295189,39101,250427
Total,Hispanic,Male,45,20,,....45 to 64 years,6068895,6068895,5451503,241515,54458,184610,19602,117207
Total,Hispanic,Male,65,,,...65 years and over,2023813,2023813,1845455,78009,15592,47893,4730,32134
Total,Hispanic,Male,85,,,...85 years and over,185323,185323,172481,5938,1135,3179,326,2264
Total,Hispanic,Male,16,,,...16 years and over,22065527,22065527,19570539,989350,208140,660181,79106,558211
Total,Hispanic,Male,18,,,...18 years and over,21046410,21046410,18684370,937957,197653,630165,75521,520744
Total,Hispanic,Female,0,5,yes,...Under 5 years,2496241,2496241,2134432,134595,27224,75017,8929,116044
Total,Hispanic,Female,5,5,yes,...5 to 9 years,2572528,2572528,2210449,135809,26085,74603,8666,116916
Total,Hispanic,Female,10,5,yes,...10 to 14 years,2607641,2607641,2243700,138993,27866,76675,9898,110509
Total,Hispanic,Female,15,5,yes,...15 to 19 years,2471758,2471758,2150795,123580,24868,72441,8658,91416
Total,Hispanic,Female,20,5,yes,...20 to 24 years,2359028,2359028,2061713,115964,23740,68791,8056,80764
Total,Hispanic,Female,25,5,yes,...25 to 29 years,2374415,2374415,2073619,123510,25184,69337,8753,74012
Total,Hispanic,Female,30,5,yes,...30 to 34 years,2172650,2172650,1896690,118103,23528,63003,8338,62988
Total,Hispanic,Female,35,5,yes,...35 to 39 years,2167700,2167700,1900899,113468,22187,63196,8363,59587
Total,Hispanic,Female,40,5,yes,...40 to 44 years,2027845,2027845,1789357,101596,20598,57569,7188,51537
